Emotion,Category,Activity,Description
Default,Music,Top 40 Chill Playlist,Popular chill tracks to relax and refresh your mind
Default,Health Screening,General Health Check,"Basic health check including blood pressure, BMI, vision and bone strength"
Default,Fitness,Group Fitness and Yoga Sessions,Gentle yoga and Pilates to stay active
Default,Workshops,Wellness Talks,"Expert-led talks on mental wellbeing, nutrition and stress management"
😌 Relaxed and Calm,Music,Weightless – Marconi Union,Soothing ambient track to calm the mind and reduce stress
😌 Relaxed and Calm,Health Screening,General Health Check,"Basic health check including blood pressure, BMI, vision and bone strength"
😌 Relaxed and Calm,Fitness,Group Fitness and Yoga Sessions,Gentle yoga and Pilates to stay active
😌 Relaxed and Calm,Workshops,Wellness Talks,"Expert-led talks on mental wellbeing, nutrition and stress management"
😟 Stressed and Anxious,Music,Clair de Lune – Debussy,Calming classical music to reduce anxiety and improve focus
😟 Stressed and Anxious,Health Screening,General Health Check,"Basic health check including blood pressure, BMI, vision and bone strength"
😟 Stressed and Anxious,Fitness,Group Fitness and Yoga Sessions,Gentle yoga and Pilates to stay active
😟 Stressed and Anxious,Workshops,Wellness Talks,"Expert-led talks on mental wellbeing, nutrition and stress management"
😴 Tired and Fatigued,Music,Here Comes the Sun – The Beatles,Uplifting track to boost energy and wakefulness
😴 Tired and Fatigued,Health Screening,General Health Check,"Basic health check including blood pressure, BMI, vision and bone strength"
😴 Tired and Fatigued,Fitness,Group Fitness and Yoga Sessions,Gentle yoga and Pilates to stay active
😴 Tired and Fatigued,Workshops,Wellness Talks,"Expert-led talks on mental wellbeing, nutrition and stress management"
💪 Motivated and Energetic,Music,Eye of the Tiger – Survivor,Motivational track to energize and increase performance
💪 Motivated and Energetic,Health Screening,General Health Check,"Basic health check including blood pressure, BMI, vision and bone strength"
💪 Motivated and Energetic,Fitness,Group Fitness and Yoga Sessions,Gentle yoga and Pilates to stay active
💪 Motivated and Energetic,Workshops,Wellness Talks,"Expert-led talks on mental wellbeing, nutrition and stress management"
😕 Confused and Overwhelmed,Music,Weightless Part 5 – Marconi Union,Music designed to enhance concentration and reduce mental clutter
😕 Confused and Overwhelmed,Health Screening,General Health Check,"Basic health check including blood pressure, BMI, vision and bone strength"
😕 Confused and Overwhelmed,Fitness,Group Fitness and Yoga Sessions,Gentle yoga and Pilates to stay active
😕 Confused and Overwhelmed,Workshops,Wellness Talks,"Expert-led talks on mental wellbeing, nutrition and stress management"
